Slug	Name	Dimension	Granularity	Function_name	Formalization_latex	Formalization_fp	Description_fp
desired-activity-count-group-of-cases-granularity-q-g	Desired Activity count (group of cases granularity)	Q	G	\(\mathit{DAC}(g)\)	\(|\mathit{Desl} \cap (\cup_{c \in g} \mathit{act}(c))|\)	\(\mathit{count}(\mathit{Desl} \cap (\cup_{c \in g} \mathit{act}(c)))\)	"\(\mathit{Desl}\) returns the set of desired activities.
\newline \(\mathit{act}(c)\) returns the set of activities that occurred in case \(c\). \\"
direct-cost-case-granularity-c-c	Direct Cost (case granularity)	C	C	"\(\mathit{DC}\mathit{^{\times}}(c)\) 
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\sum _{i \in \mathit{inst}(c), \mathit{act}(i) \in \mathit{DCl}} \mathit{TC}\mathit{^{\times}}(i)\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sum}}$."	\(\sum _{i \in \mathit{inst}(c), \mathit{act}(i) \in \mathit{DCl}} \mathit{TC}(i)\)	"\(\mathit{inst}(c)\) returns the set of all activity instances in case \(c\).
\newline \(\mathit{act}(i)\) returns the activity of activity instance \(i\).
\newline \(\mathit{DCl}\) returns the set of direct cost activities.
\newline \(\mathit{TC}(i)\) returns the cost of activity instance \(i\). \\"
direct-cost-group-of-cases-granularity-c-g	Direct Cost (group of cases granularity)	C	G	"\(\mathit{DC}\mathit{^{\times}}(g)\) 
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\sum _{c \in g} \mathit{DC}\mathit{^{\times}}(c)\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{DC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{DC}\mathit{^{sum}}$."	\(\sum _{c \in g} \mathit{DC}(c)\)	\(\mathit{DC}(c)\) returns the direct cost for case \(c\). \\
directly-follows-relations-and-activity-count-ratio-case-granularity-f-c	Directly-Follows Relations and Activity count Ratio (case granularity)	F	C	\(\mathit{DFRAR}(c)\)	\(\frac{\mathit{DFR}(c)}{\mathit{A}(c)}\)	\(\frac{\mathit{DFR}(c)}{\mathit{A}(c)}\)	"\(\mathit{DFR}(c)\) returns the number of unique Directly-Follows Relations (DFR) in case \(c\).
\newline \(\mathit{A}(c)\) returns the number of unique activities in case \(c\). \\"
directly-follows-relations-and-activity-count-ratio-group-of-cases-granularity-f-g	Directly-Follows Relations and Activity count Ratio (group of cases granularity)	F	G	\(\mathit{DFRAR}(g)\)	\(\frac{\mathit{DFR}(g)}{\mathit{A}(g)}\)	\(\frac{\mathit{DFR}(g)}{\mathit{A}(g)}\)	"\(\mathit{DFR}(g)\) returns the number of unique Directly-Follows Relations (DFR) in group \(g\).
\newline \(\mathit{A}(g)\) returns the number of unique activities in group \(g\). \\"
directly-follows-relations-count-activity-granularity-f-a	Directly-Follows Relations count (activity granularity)	F	A	\(\mathit{DFR}(a)\)	\(|\cup_{i \in \mathit{inst}(a)} \{\mathit{act}(i') \mid i' \in \mathit{next}(i)\}|\)	\(\sum_{a \in \mathit{act}(a)} \mathit{dfrel}(a)\)	"\(\mathit{inst}(a)\) returns the set of all instances of activity \(a\).
\newline \(\mathit{dfrel}(a)\) returns the set of activities that directly follow activity \(a\) in any case. \\"
directly-follows-relations-count-case-granularity-f-c	Directly-Follows Relations count (case granularity)	F	C	\(\mathit{DFR}(c)\)	\(|\mathit{dfrel}(c)|\)	\(\mathit{count}(\mathit{dfrel}(c))\)	\(\mathit{dfrel}(c)\) returns the set of unique Directly-Follows Relations (DFR) in case \(c\). \\
directly-follows-relations-count-group-of-cases-granularity-f-g	Directly-Follows Relations count (group of cases granularity)	F	G	\(\mathit{DFR}(g)\)	\(|\cup_{c \in g} \mathit{dfrel}(c)|\)	\(\displaystyle \sum_{r \in (\cup_{c \in g} \mathit{dfrel}(c))} 1\)	\(\mathit{dfrel}(c)\) returns the set of unique Directly-Follows Relations (DFR) in case \(c\). \\
expected-active-time-t-g	Expected Active Time	T	G	\(\mathit{e}\mathit{AT}(g)\)	\(\frac{\sum _{c \in g} \mathit{AT}(c)}{\mathit{C}(g)}\)	\(\frac{\sum _{c \in g} \mathit{AT}(c)}{\mathit{C}(g)}\)	"\(\mathit{AT}(c)\) returns the Active Time of case \(c\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-activity-and-role-count-ratio-f-g	Expected Activity and Role count Ratio	F	G	\(\mathit{e}\mathit{ARoleR}(g)\)	\(\frac{\sum _{c \in g} \mathit{A}(c)}{\sum _{c \in g} \mathit{Role}(c)}\)	\(\frac{\sum _{c \in g} \mathit{A}(c)}{\sum _{c \in g} \mathit{Role}(c)}\)	"\(\mathit{A}(c)\) returns the number of unique activities in case \(c\).
\newline \(\mathit{Role}(c)\) returns the number of unique roles involved in case \(c\). \\"
expected-activity-count-g-g	Expected Activity count	G	G	\(\mathit{e}\mathit{A}(g)\)	\(\frac{\sum _{c \in g} \mathit{A}(c)}{\mathit{C}(g)}\)	\(\frac{\sum _{c \in \mathit{cases}(g)} \mathit{A}(c)}{\mathit{C}(g)}\)	"$\mathit{cases}(g)$ returns the set of cases in group of cases $g$.
\newline $\mathit{A}(c)$ returns the activity count of case $c$.
\newline $\mathit{C}(g)$ returns the case count of group of cases $g$. \\"
expected-activity-count-t-g	Expected Activity count	T	G	\(\mathit{e}\mathit{A}(g)\)	\(\frac{\sum _{c \in g} \mathit{A}(c)}{\mathit{C}(g)}\)	\(\frac{\sum _{c \in \mathit{cases}(g)} \mathit{A}(c)}{\mathit{C}(g)}\)	"$\mathit{cases}(g)$ returns the set of cases in group of cases $g$.
\newline $\mathit{A}(c)$ returns the activity count of case $c$.
\newline $\mathit{C}(g)$ returns the case count of group of cases $g$.
\\"
expected-activity-instance-and-human-resource-count-ratio-f-g	Expected activity Instance and Human Resource count Ratio	F	G	\(\mathit{e}\mathit{IHRR}(g)\)	\(\frac{\mathit{I}(g)}{\sum _{c \in g} \mathit{HR}(c)}\)	\(\frac{\mathit{I}(g)}{\sum _{c \in g} \mathit{HR}(c)}\)	"\(\mathit{I}(g)\) returns the total number of activity instances in group \(g\).
\newline \(\mathit{HR}(c)\) returns the number of unique human resources involved in case \(c\). \\"
expected-activity-instance-count-g-g	Expected activity Instance count	G	G	\(\mathit{e}\mathit{I}(g)\)	\(\frac{\mathit{I}(g)}{\mathit{C}(g)}\)	\(\frac{\mathit{I}(g)}{\mathit{C}(g)}\)	"$\mathit{I}(g)$ returns the activity instance count of group of cases $g$.
\newline $\mathit{C}(g)$ returns the case count of group of cases $g$.\\"
expected-activity-instance-count-t-g	Expected activity Instance count	T	G	\(\mathit{e}\mathit{I}(g)\)	\(\frac{\mathit{I}(g)}{\mathit{C}(g)}\)	\(\frac{\mathit{I}(g)}{\mathit{C}(g)}\)	"$\mathit{I}(g)$ returns the activity instance count of group of cases $g$.
\newline $\mathit{C}(g)$ returns the case count of group of cases $g$.
\\"
expected-activity-instance-count-by-human-resource-q-g	Expected activity Instance count by Human Resource	Q	G	\(\mathit{e}\mathit{IbyHR}(g, \mathit{hr})\)	\(\frac{\mathit{IbyHR}(g, \mathit{hr})}{\mathit{C}(g)}\)	\(\frac{\mathit{IbyHR}(g, \mathit{hr})}{\mathit{C}(g)}\)	"\(\mathit{IbyHR}(g, \mathit{hr})\) returns the total activity instance count by human resource \(\mathit{hr}\) in group \(g\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-activity-instance-count-by-role-q-g	Expected activity Instance count by Role	Q	G	\(\mathit{e}\mathit{IbyRole}(g, \mathit{rl})\)	\(\frac{\mathit{IbyRole}(g, \mathit{rl})}{\mathit{C}(g)}\)	\(\frac{\mathit{IbyRole}(g, \mathit{rl})}{\mathit{C}(g)}\)	"\(\mathit{IbyRole}(g, \mathit{rl})\) returns the total activity instance count by role \(\mathit{rl}\) in group \(g\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-automated-activity-cost-c-g	Expected Automated Activity Cost	C	G	"\(\mathit{e}\mathit{AutC}\mathit{^{\times}}(g)\) 
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\frac{\mathit{AutC}\mathit{^{\times}}(g)}{\mathit{C}(g)}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{AutC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{AutC}\mathit{^{sum}}$."	\(\frac{\mathit{AutC}(g)}{\mathit{C}(g)}\)	"\(\mathit{AutC}(g)\) returns the total automated activity cost for group \(g\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-automated-activity-count-q-g	Expected Automated Activity count	Q	G	\(\mathit{e}\mathit{Auta}(g)\)	\(\frac{\sum _{c \in g} \mathit{Auta}(c)}{\mathit{C}(g)}\)	\(\frac{\sum _{c \in g} \mathit{Auta}(c)}{\mathit{C}(g)}\)	"\(\mathit{Auta}(c)\) returns the automated activity count for case \(c\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-automated-activity-count-t-g	Expected Automated Activity count	T	G	\(\mathit{e}\mathit{Auta}(g)\)	\(\frac{\sum _{c \in g} \mathit{Auta}(c)}{\mathit{C}(g)}\)	\(\frac{\sum_{c \in \mathit{cases}(g)} \mathit{Auta}(c)}{\mathit{C}(g)}\)	"$\mathit{cases}(g)$ returns the set of cases in group of cases $g$.
\newline $\mathit{Auta}(c)$ returns the automated activity count of case $c$.
\newline $\mathit{C}(g)$ returns the case count of group of cases $g$.\\"
expected-automated-activity-instance-count-q-g	Expected Automated activity Instance count	Q	G	\(\mathit{e}\mathit{Auti}(g)\)	\(\frac{\mathit{Auti}(g)}{\mathit{C}(g)}\)	\(\frac{\mathit{Auti}(g)}{\mathit{C}(g)}\)	"\(\mathit{Auti}(g)\) returns the total automated activity instance count for group \(g\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-automated-activity-instance-count-t-g	Expected Automated activity Instance count	T	G	\(\mathit{e}\mathit{Auti}(g)\)	\(\frac{\mathit{Auti}(g)}{\mathit{C}(g)}\)	\(\frac{\mathit{Auti}(g)}{\mathit{C}(g)}\)	"$\mathit{Auti}(g)$ returns the automated activity instance count of group of cases $g$.
\newline $\mathit{C}(g)$ returns the case count of group of cases $g$.\\"
expected-automated-activity-service-time-t-g	Expected Automated Activity Service Time	T	G	\(\mathit{e}\mathit{AutST}(g)\)	\(\frac{\mathit{AutST}(g)}{\mathit{C}(g)}\)	\(\frac{\mathit{AutST}(g)}{\mathit{C}(g)}\)	"$\mathit{AutST}(g)$ returns the automated activity service time of group of cases $g$.
\newline $\mathit{C}(g)$ returns the case count of group of cases $g$.\\"
expected-client-count-f-g	Expected Client count	F	G	\(\mathit{e}\mathit{Cli}(g)\)	\(\frac{\mathit{Cli}(g)}{\mathit{C}(g)}\)	\(\frac{\mathit{Cli}(g)}{\mathit{C}(g)}\)	"\(\mathit{Cli}(g)\) returns the number of distinct clients associated with group \(g\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-client-count-and-total-cost-ratio-q-g	Expected Client count and Total Cost Ratio	Q	G	"\(\mathit{e}\mathit{CliTCR}\mathit{^{\times}}(g)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\frac{\mathit{Cli}(g)}{\mathit{TC}\mathit{^{\times}}(g)}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sum}}$."	\(\frac{\mathit{Cli}(g)}{\mathit{TC}(g)}\)	"\(\mathit{Cli}(g)\) returns the number of distinct clients associated with group \(g\).
\newline \(\mathit{TC}(g)\) returns the total cost of case group \(g\). \\"
expected-desired-activity-count-c-g	Expected Desired Activity count	C	G	\(\mathit{e}\mathit{DAC}(g)\)	\(\frac{\sum _{c \in g} \mathit{DAC}(c)}{\mathit{C}(g)}\)	\(\frac{\sum _{c \in g} \mathit{DAC}(c)}{\mathit{C}(g)}\)	"\(\mathit{DAC}(c)\) returns the desired activity count for case \(c\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-desired-activity-count-q-g	Expected Desired Activity count	Q	G	\(\mathit{e}\mathit{DAC}(g)\)	\(\frac{\sum _{c \in g} \mathit{DAC}(c)}{\mathit{C}(g)}\)	\(\frac{\sum _{c \in g} \mathit{DAC}(c)}{\mathit{C}(g)}\)	"\(\mathit{DAC}(c)\) returns the desired activity count for case \(c\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-direct-cost-c-g	Expected Direct Cost	C	G	"\(\mathit{e}\mathit{DC}\mathit{^{\times}}(g)\) 
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\frac{\mathit{DC}\mathit{^{\times}}(g)}{\mathit{C}(g)}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{DC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{DC}\mathit{^{sum}}$."	\(\frac{\mathit{DC}(g)}{\mathit{C}(g)}\)	"\(\mathit{DC}(g)\) returns the total direct cost for group \(g\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-directly-follows-relations-and-activity-count-ratio-f-g	Expected Directly-Follows Relations and Activity count Ratio	F	G	\(\mathit{e}\mathit{DFRAR}(g)\)	\(\frac{\sum _{c \in g} \mathit{DFR}(c)}{\sum _{c \in g} \mathit{A}(c)}\)	\(\frac{\sum _{c \in g} \mathit{DFR}(c)}{\sum _{c \in g} \mathit{A}(c)}\)	"\(\mathit{DFR}(c)\) returns the number of unique Directly-Follows Relations (DFR) in case \(c\).
\newline \(\mathit{A}(c)\) returns the number of unique activities in case \(c\). \\"
expected-directly-follows-relations-count-f-g	Expected Directly-Follows Relations count	F	G	\(\mathit{e}\mathit{DFR}(g)\)	\(\frac{\sum _{c \in g} \mathit{DFR}(c)}{\mathit{C}(g)}\)	\(\frac{\sum _{c \in g} \mathit{DFR}(c)}{\mathit{C}(g)}\)	"\(\mathit{DFR}(c)\) returns the number of unique Directly-Follows Relations (DFR) in case \(c\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-fixed-cost-c-g	Expected Fixed Cost	C	G	"\(\mathit{e}\mathit{FC}\mathit{^{\times}}(g)\) 
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\frac{\mathit{FC}\mathit{^{\times}}(g)}{\mathit{C}(g)}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{FC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{FC}\mathit{^{sum}}$."	\(\frac{\mathit{FC}(g)}{\mathit{C}(g)}\)	"\(\mathit{FC}(g)\) returns the total fixed cost for group \(g\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-handover-count-t-g	Expected Handover count	T	G	\(\mathit{e}\mathit{H}(g)\)	\(\frac{\sum _{c \in g} \mathit{H}(c)}{\mathit{C}(g)}\)	\(\frac{\sum_{c \in g} \mathit{H}(c)}{\mathit{C}(g)}\)	"$g$ represents the group of cases under analysis.
\newline $\mathit{H}(c)$ returns the handover count of case $c$.
\newline $\mathit{C}(g)$ returns the case count of group of cases $g$.\\"
expected-human-resource-count-c-g	Expected Human Resource count	C	G	\(\mathit{e}\mathit{HR}(g)\)	\(\frac{\sum _{c \in g} \mathit{HR}(c)}{\mathit{C}(g)}\)	\(\frac{\sum _{c \in \mathit{cases}(g)} \mathit{HR}(c)}{\mathit{C}(g)}\)	"$\mathit{cases}(g)$ returns the set of cases in group of cases $g$.
\newline $\mathit{HR}(c)$ returns the human resource count of case $c$.
\newline $\mathit{C}(g)$ returns the case count of group of cases $g$. \\"
expected-human-resource-count-f-g	Expected Human Resource count	F	G	\(\mathit{e}\mathit{HR}(g)\)	\(\frac{\sum _{c \in g} \mathit{HR}(c)}{\mathit{C}(g)}\)	\(\frac{\sum _{c \in \mathit{cases}(g)} \mathit{HR}(c)}{\mathit{C}(g)}\)	"$\mathit{cases}(g)$ returns the set of cases in group of cases $g$.
\newline $\mathit{HR}(c)$ returns the human resource count of case $c$.
\newline $\mathit{C}(g)$ returns the case count of group of cases $g$. \\"
expected-human-resource-count-g-g	Expected Human Resource count	G	G	\(\mathit{e}\mathit{HR}(g)\)	\(\frac{\sum _{c \in g} \mathit{HR}(c)}{\mathit{C}(g)}\)	\(\frac{\sum _{c \in \mathit{cases}(g)} \mathit{HR}(c)}{\mathit{C}(g)}\)	"$\mathit{cases}(g)$ returns the set of cases in group of cases $g$.
\newline $\mathit{HR}(c)$ returns the human resource count of case $c$.
\newline $\mathit{C}(g)$ returns the case count of group of cases $g$. \\"
expected-human-resource-count-q-g	Expected Human Resource count	Q	G	\(\mathit{e}\mathit{HR}(g)\)	\(\frac{\sum _{c \in g} \mathit{HR}(c)}{\mathit{C}(g)}\)	\(\frac{\sum _{c \in \mathit{cases}(g)} \mathit{HR}(c)}{\mathit{C}(g)}\)	"$\mathit{cases}(g)$ returns the set of cases in group of cases $g$.
\newline $\mathit{HR}(c)$ returns the human resource count of case $c$.
\newline $\mathit{C}(g)$ returns the case count of group of cases $g$. \\"
expected-idle-time-t-g	Expected Idle Time	T	G	\(\mathit{e}\mathit{IT}(g)\)	\(\frac{\sum _{c \in g} \mathit{IT}(c)}{\mathit{C}(g)}\)	\(\frac{\sum_{c \in g} \mathit{IT}(c)}{\mathit{C}(g)}\)	"$g$ represents the group of cases under analysis.
\newline $\mathit{IT}(c)$ returns the idle time of case $c$.
\newline $\mathit{C}(g)$ returns the case count of group of cases $g$.\\"
